key,Model,rating,License,Organization,date
chatglm-6b,ChatGLM-6B,918.2202296788714,Non-commercial,Tsinghua,20230508
koala-13b,Koala-13B,1022.3520972128268,Non-commercial,UC Berkeley,20230508
oasst-pythia-12b,OpenAssistant-Pythia-12B,928.8824468089556,Apache 2.0,OpenAssistant,20230508
alpaca-13b,Alpaca-13B,904.2215036724745,Non-commercial,Stanford,20230508
vicuna-13b,Vicuna-13B,1083.2188207782099,Llama 2 Community,LMSYS,20230508
dolly-v2-12b,Dolly-V2-12B,863.7281036169238,MIT,Databricks,20230508
stablelm-tuned-alpha-7b,StableLM-Tuned-Alpha-7B,906.8040379032074,CC-BY-NC-SA-4.0,Stability AI,20230508
llama-13b,LLaMA-13B,826.9986466683627,Non-commercial,Meta,20230508
fastchat-t5-3b,FastChat-T5-3B,902.3997486326257,Apache 2.0,LMSYS,20230508
gpt-3.5-turbo,GPT 3.5 Turbo,1155.0285094255262,Proprietary,OpenAI,20230508
gpt-4,ChatGPT-4,1274.1856580388371,Proprietary,OpenAI,20230508
claude-v1,Claude 1,1224.715101889762,Proprietary,Anthropic,20230508
RWKV-4-Raven-14B,RWKV-4-Raven-14B,989.2450956734142,Apache 2.0,RWKV,20230508
chatglm-6b,ChatGLM-6B,920.9282810403832,Non-commercial,Tsinghua,20230522
koala-13b,Koala-13B,980.3670744220298,Non-commercial,UC Berkeley,20230522
oasst-pythia-12b,OpenAssistant-Pythia-12B,921.0972051898513,Apache 2.0,OpenAssistant,20230522
alpaca-13b,Alpaca-13B,936.6800065083205,Non-commercial,Stanford,20230522
vicuna-13b,Vicuna-13B,1054.369728608854,Llama 2 Community,LMSYS,20230522
dolly-v2-12b,Dolly-V2-12B,865.7175063564506,MIT,Databricks,20230522
stablelm-tuned-alpha-7b,StableLM-Tuned-Alpha-7B,881.6686521679197,CC-BY-NC-SA-4.0,Stability AI,20230522
llama-13b,LLaMA-13B,854.3532968257614,Non-commercial,Meta,20230522
fastchat-t5-3b,FastChat-T5-3B,940.6142582015711,Apache 2.0,LMSYS,20230522
gpt-3.5-turbo,GPT 3.5 Turbo,1142.5374986962274,Proprietary,OpenAI,20230522
gpt-4,ChatGPT-4,1224.5665483232208,Proprietary,OpenAI,20230522
claude-v1,Claude 1,1195.2376371501016,Proprietary,Anthropic,20230522
RWKV-4-Raven-14B,RWKV-4-Raven-14B,928.2765519943323,Apache 2.0,RWKV,20230522
mpt-7b-chat,MPT-7B-Chat,951.5691484213997,CC-BY-NC-SA-4.0,MosaicML,20230522
palm-2,PaLM-Chat-Bison-001,1041.849630876554,Proprietary,Google,20230522
claude-instant-v1,Claude Instant v1,1153.382373114041,Proprietary,Anthropic,20230522
vicuna-7b,Vicuna-7B,1006.7846021029719,Llama 2 Community,LMSYS,20230522
chatglm-6b,ChatGLM-6B,941.2179593289206,Non-commercial,Tsinghua,20230619
koala-13b,Koala-13B,1000.6978629238841,Non-commercial,UC Berkeley,20230619
oasst-pythia-12b,OpenAssistant-Pythia-12B,916.2578786302284,Apache 2.0,OpenAssistant,20230619
alpaca-13b,Alpaca-13B,968.3563227776623,Non-commercial,Stanford,20230619
vicuna-13b,Vicuna-13B,1041.0897474330436,Llama 2 Community,LMSYS,20230619
dolly-v2-12b,Dolly-V2-12B,866.7105672272268,MIT,Databricks,20230619
stablelm-tuned-alpha-7b,StableLM-Tuned-Alpha-7B,905.8849822359603,CC-BY-NC-SA-4.0,Stability AI,20230619
llama-13b,LLaMA-13B,858.5389716970445,Non-commercial,Meta,20230619
fastchat-t5-3b,FastChat-T5-3B,931.1177200537186,Apache 2.0,LMSYS,20230619
gpt-3.5-turbo,GPT 3.5 Turbo,1085.1808703452618,Proprietary,OpenAI,20230619
gpt-4,ChatGPT-4,1148.811728998083,Proprietary,OpenAI,20230619
claude-v1,Claude 1,1124.2365364910538,Proprietary,Anthropic,20230619
RWKV-4-Raven-14B,RWKV-4-Raven-14B,974.1286348915313,Apache 2.0,RWKV,20230619
mpt-7b-chat,MPT-7B-Chat,977.2456003448477,CC-BY-NC-SA-4.0,MosaicML,20230619
palm-2,PaLM-Chat-Bison-001,1035.9912042195533,Proprietary,Google,20230619
claude-instant-v1,Claude Instant v1,1103.9153426366677,Proprietary,Anthropic,20230619
vicuna-7b,Vicuna-7B,1022.7895907571678,Llama 2 Community,LMSYS,20230619
wizardlm-13b,WizardLM-13b-v1.2,1040.271098502264,Llama 2 Community,Microsoft,20230619
gpt4all-13b-snoozy,GPT4All-13B-Snoozy,991.0869497884423,Non-commercial,Nomic AI,20230619
guanaco-33b,Guanaco-33B,1066.4704307174284,Non-commercial,UW,20230619
chatglm-6b,ChatGLM-6B,927.8865337500259,Non-commercial,Tsinghua,20230717
koala-13b,Koala-13B,973.7637651155001,Non-commercial,UC Berkeley,20230717
oasst-pythia-12b,OpenAssistant-Pythia-12B,919.961448738522,Apache 2.0,OpenAssistant,20230717
alpaca-13b,Alpaca-13B,924.2632057689491,Non-commercial,Stanford,20230717
vicuna-13b,Vicuna-13B,1021.2717004096306,Llama 2 Community,LMSYS,20230717
dolly-v2-12b,Dolly-V2-12B,863.5713145347792,MIT,Databricks,20230717
stablelm-tuned-alpha-7b,StableLM-Tuned-Alpha-7B,913.3392275504868,CC-BY-NC-SA-4.0,Stability AI,20230717
llama-13b,LLaMA-13B,865.1983601428582,Non-commercial,Meta,20230717
fastchat-t5-3b,FastChat-T5-3B,884.4385327887005,Apache 2.0,LMSYS,20230717
gpt-3.5-turbo,GPT 3.5 Turbo,1157.673375731235,Proprietary,OpenAI,20230717
gpt-4,ChatGPT-4,1184.9181849464978,Proprietary,OpenAI,20230717
claude-v1,Claude 1,1200.7036710873972,Proprietary,Anthropic,20230717
RWKV-4-Raven-14B,RWKV-4-Raven-14B,952.8981137053423,Apache 2.0,RWKV,20230717
mpt-7b-chat,MPT-7B-Chat,947.0362115457257,CC-BY-NC-SA-4.0,MosaicML,20230717
palm-2,PaLM-Chat-Bison-001,988.9676307741437,Proprietary,Google,20230717
claude-instant-v1,Claude Instant v1,1138.4538924771682,Proprietary,Anthropic,20230717
vicuna-7b,Vicuna-7B,1024.0915379161688,Llama 2 Community,LMSYS,20230717
wizardlm-13b,WizardLM-13b-v1.2,1032.3271232728555,Llama 2 Community,Microsoft,20230717
gpt4all-13b-snoozy,GPT4All-13B-Snoozy,941.3140035608232,Non-commercial,Nomic AI,20230717
guanaco-33b,Guanaco-33B,1023.4511199209172,Non-commercial,UW,20230717
vicuna-33b,Vicuna-33B,1088.1057182628988,Non-commercial,LMSYS,20230717
