Organization,date,rating_max,rating_max_max,diff
01 AI,20231206,1048.210634696694,1199.9728429409397,-151.7622082442458
01 AI,20231215,1074.925552729073,1228.2589125567551,-153.33335982768222
01 AI,20231220,1056.8806382887483,1224.17800278768,-167.29736449893176
01 AI,20240109,1065.781735945408,1184.4213902147933,-118.63965426938535
01 AI,20240118,1070.6851345035902,1195.3746851356248,-124.68955063203452
01 AI,20240125,1066.73181788768,1189.1909177910618,-122.45909990338168
01 AI,20240202,1043.816203851759,1185.0242535070245,-141.20804965526554
01 AI,20240215,1016.0146760062038,1187.8907744246449,-171.87609841844107
01 AI,20240305,967.426288096176,1206.0258696021788,-238.59958150600278
01 AI,20240307,969.3412431869104,1211.4484591782004,-242.10721599129
01 AI,20240313,969.3412431869104,1192.3879927185628,-223.04674953165238
01 AI,20240326,971.2815595443442,1170.1134953934936,-198.83193584914943
01 AI,20240327,1099.0185495323788,1253.5558630630308,-154.537313530652
01 AI,20240403,1100.8827565998054,1255.9136160403054,-155.03085944050008
01 AI,20240409,1105.6967190233445,1255.8232577594238,-150.12653873607928
01 AI,20240410,1105.7359203550611,1255.912690510752,-150.17677015569097
01 AI,20240411,1106.412576453817,1260.7410988821052,-154.32852242828812
01 AI,20240413,1106.898033639517,1259.5083527473555,-152.61031910783845
01 AI,20240418,1108.750692001296,1258.3213973971626,-149.57070539586653
01 AI,20240419,1108.7985255936,1258.8236517153468,-150.02512612174678
01 AI,20240422,1108.785201561705,1258.8651046852444,-150.07990312353945
01 AI,20240426,1109.7224469339824,1257.3994068657073,-147.67695993172492
01 AI,20240501,1111.1326399460545,1258.8152791324717,-147.6826391864172
01 AI,20240508,1113.1550872538614,1257.634537277757,-144.47945002389565
01 AI,20240515,1115.9851622934016,1289.1649796223994,-173.17981732899784
01 AI,20240516,1115.8090931795311,1287.0545165170488,-171.24542333751765
01 AI,20240519,1116.021015699715,1286.6349805191508,-170.61396481943575
01 AI,20240520,1236.4459435320643,1286.7607663626156,-50.31482283055129
01 AI,20240527,1238.9209474535603,1287.105368804916,-48.184421351355695
01 AI,20240602,1239.0806669022013,1286.724442487022,-47.64377558482079
01 AI,20240606,1239.397043423674,1286.793605081983,-47.39656165830911
01 AI,20240611,1239.1318606012026,1286.615493266081,-47.48363266487854
01 AI,20240617,1239.5469956658117,1286.877192983147,-47.33019731733543
01 AI,20240621,1239.783471569749,1286.6621224244868,-46.87865085473777
01 AI,20240623,1239.7084364735351,1287.2995138080096,-47.59107733447445
01 AI,20240626,1240.058607769238,1286.9992710588658,-46.940663289627764
01 AI,20240629,1238.3555014289336,1287.0196469719676,-48.66414554303401
01 AI,20240706,1240.3509402722466,1287.3959975556716,-47.04505728342497
01 AI,20240708,1240.5558747221726,1287.4660504645813,-46.91017574240868
01 AI,20240716,1240.0241270382105,1286.89343680061,-46.86930976239955
01 AI,20240722,1240.1700144905722,1286.7526639333005,-46.582649442728325
01 AI,20240725,1239.950698591169,1286.72314411263,-46.77244552146112
01 AI,20240730,1239.8013871848243,1286.0654503209348,-46.26406313611051
01 AI,20240731,1239.7407369945545,1286.050441617469,-46.30970462291452
01 AI,20240801,1239.6765881658807,1299.7491676177356,-60.072579451854835
01 AI,20240805,1239.6152989381008,1299.2243863203976,-59.60908738229682
01 AI,20240806,1239.6336872929023,1299.424778650532,-59.79109135762974
01 AI,20240813,1239.605925623151,1313.5454668908842,-73.93954126773315
01 AI,20240822,1239.54307827197,1316.7861206214911,-77.24304234952115
01 AI,20240823,1239.6082974328135,1316.8023351337524,-77.1940377009389
01 AI,20240827,1239.5598566785725,1316.1231754354546,-76.56331875688215
01 AI,20240828,1239.5761510938928,1316.1559008799543,-76.57974978606148
01 AI,20240904,1239.5294219675288,1315.6201862465268,-76.090764278998
01 AI,20240915,1239.5158050060425,1336.1025293518214,-96.58672434577898
01 AI,20240917,1239.5001717371829,1355.2309449872544,-115.73077325007148
01 AI,20240927,1239.5718265158375,1339.0830729150762,-99.51124639923864
01 AI,20241007,1239.6636694807926,1338.2515483211362,-98.58787884034359
01 AI,20241015,1286.6584275978294,1339.07837805003,-52.41995045220074
01 AI,20241023,1285.5675604686917,1340.2356888916693,-54.66812842297759
01 AI,20241028,1285.1660558400724,1340.1561178918114,-54.99006205173896
01 AI,20241104,1286.5050690927617,1340.1765148323448,-53.67144573958308
01 AI,20241112,1287.0357139611765,1340.1350821631534,-53.09936820197686
01 AI,20241113,1286.6127337154307,1344.1632885393035,-57.550554823872744
01 AI,20241120,1286.858081548687,1361.3348553306314,-74.4767737819443
01 AI,20241121,1286.7742283834934,1365.36671090733,-78.59248252383645
01 AI,20241122,1286.814619491288,1365.313326638311,-78.49870714702297
01 AI,20241201,1286.9341503370265,1366.0708398859188,-79.13668954889226
01 AI,20241205,1287.0762743568305,1379.38160842967,-92.30533407283951
01 AI,20241210,1287.078682533835,1376.7849461246587,-89.70626359082371
01 AI,20241215,1287.0779920077357,1373.5123129166277,-86.434320908892
01 AI,20241218,1287.0055529280044,1372.4524723971635,-85.44691946915918
01 AI,20241222,1287.0188678580816,1371.8168354408217,-84.79796758274006
01 AI,20241230,1286.8966204492158,1373.4593976638484,-86.56277721463266
01 AI,20250105,1287.20564671003,1374.203561220555,-86.9979145105251
01 AI,20250115,1287.189301128533,1373.7231773717144,-86.53387624318134
01 AI,20250119,1287.094797214912,1374.2399172343833,-87.14512001947128
01 AI,20250121,1287.1708706746174,1380.4142304412765,-93.24335976665907
01 AI,20250122,1287.1708706746174,1380.4142304412765,-93.24335976665907
01 AI,20250124,1287.128852051099,1381.797608931306,-94.66875688020696
01 AI,20250128,1287.1489812061486,1381.9950998330671,-94.8461186269185
01 AI,20250203,1287.061980033797,1383.5345465690066,-96.47256653520958
01 AI,20250205,1287.0573437035423,1383.834545551439,-96.77720184789678
01 AI,20250206,1286.9505303942778,1383.2100734039186,-96.25954300964077
01 AI,20250209,1286.9966947144117,1384.2258425332157,-97.229147818804
01 AI,20250211,1286.9751584667592,1383.920549101504,-96.94539063474485
01 AI,20250214,1287.0067272506476,1384.63146356482,-97.62473631417242
01 AI,20250217,1286.9560500123623,1402.237025188755,-115.28097517639276
01 AI,20250221,1287.0525242670335,1403.1097176988503,-116.05719343181681
01 AI,20250227,1286.986078306997,1403.4550352813053,-116.46895697430841
01 AI,20250303,1287.0009573368816,1411.5470385735089,-124.54608123662729
01 AI,20250311,1286.7853829746325,1406.6043132437896,-119.81893026915714
01 AI,20250315,1286.72967769109,1405.9700620095723,-119.24038431848226
01 AI,20250317,1286.7174640184412,1406.142956265074,-119.42549224663276
01 AI,20250320,1286.742401394285,1404.0372650160534,-117.2948636217684
01 AI,20250325,1286.769864371735,1443.2684762576891,-156.49861188595423
01 AI,20250326,1286.749014805465,1442.9589925419386,-156.20997773647355
AI21 Labs,20240822,1212.5642258066605,1316.7861206214911,-104.22189481483065
AI21 Labs,20240823,1212.7860340735433,1316.8023351337524,-104.01630106020912
AI21 Labs,20240827,1213.9771579562023,1316.1231754354546,-102.14601747925235
AI21 Labs,20240828,1213.1299522212842,1316.1559008799543,-103.02594865867013
AI21 Labs,20240904,1217.7662330871503,1315.6201862465268,-97.85395315937649
AI21 Labs,20240915,1220.4515568076126,1336.1025293518214,-115.6509725442088
AI21 Labs,20240917,1220.5503324305453,1355.2309449872544,-134.6806125567091
